 coating x n_core k_core n_shell k_shell lambda
10335784 0.050 56.549 1.439 0.015 1.455 0.000 500.000
10337166 0.050 0.658 1.444 0.032 1.428 0.147 4300.000
1033730 0.000 228.479 1.466 0.018 1.525 0.022 220.000
10340919 0.050 16.755 1.477 0.064 1.540 0.000 150.000
10341011 0.050 0.650 1.411 0.014 1.427 0.146 4350.000
10341142 0.050 1.232 1.385 0.013 1.418 0.143 5100.000
10341212 0.050 1.327 1.321 0.069 1.277 0.183 7100.000
10344173 0.050 14.444 1.450 0.035 1.427 0.146 4350.000
10348698 0.050 0.658 1.459 0.040 1.428 0.147 4300.000
10348742 0.050 6.283 1.474 0.021 1.455 0.000 500.000
1035419 0.000 44.352 1.494 0.020 1.504 0.022 850.000
10355023 0.050 6.500 1.466 0.043 1.427 0.146 4350.000
10362945 0.050 54.454 1.448 0.014 1.451 0.000 750.000
10364128 0.050 3.142 1.402 0.005 1.445 0.000 1000.000
10365413 0.050 0.683 1.489 0.033 1.518 0.000 230.000
10366849 0.050 67.665 1.486 0.020 1.452 0.000 650.000
10371023 0.050 12.435 1.392 0.008 1.416 0.140 4800.000
10371563 0.050 2.513 1.490 0.020 1.451 0.000 750.000
10381781 0.060 95.614 1.474 0.077 1.376 0.000 230.000
10382456 0.060 0.593 2.376 0.472 1.519 0.385 90000.000
10389040 0.060 7.069 1.464 0.024 1.339 0.000 400.000
10394136 0.060 62.832 1.435 0.016 1.327 0.000 1000.000
1039451 0.000 49.604 1.453 0.023 1.451 0.011 950.000
10396660 0.060 11.424 1.476 0.067 1.382 0.000 220.000
10397058 0.060 3.653 1.429 0.024 1.343 0.007 4300.000
10400825 0.060 19.333 1.469 0.020 1.332 0.000 650.000
10401699 0.060 59.525 1.470 0.022 1.328 0.000 950.000
10402891 0.060 3.927 1.419 0.021 1.330 0.011 4800.000
1041314 0.000 14.661 1.458 0.064 1.421 0.146 3000.000
10414271 0.060 50.265 1.465 0.034 1.362 0.000 250.000
10414838 0.060 58.344 1.449 0.015 1.331 0.000 700.000
10415072 0.060 267.035 1.475 0.048 1.396 0.000 200.000
10418079 0.060 2.049 1.471 0.046 1.335 0.009 4600.000
10420559 0.060 8.195 1.435 0.027 1.335 0.009 4600.000
10424607 0.060 3.060 1.547 0.233 1.359 0.236 15400.000
10425303 0.060 7.480 1.469 0.028 1.389 0.000 210.000
10427765 0.060 1.571 1.313 0.032 1.291 0.034 8000.000
10429217 0.060 4.189 1.490 0.021 1.337 0.000 450.000
10430050 0.060 6.160 1.487 0.054 1.319 0.022 5100.000
10435313 0.060 1.444 1.399 0.005 1.342 0.007 4350.000
10438959 0.060 2.957 1.447 0.021 1.341 0.000 850.000
10439135 0.060 17.952 1.455 0.027 1.357 0.000 350.000
10445647 0.060 97.738 1.445 0.018 1.349 0.000 450.000
10445709 0.060 104.720 1.445 0.018 1.349 0.000 450.000
10446571 0.060 9.561 1.482 0.072 1.390 0.000 230.000
10452681 0.060 1.812 1.416 0.029 1.324 0.043 5200.000
10455091 0.060 7.944 1.428 0.023 1.350 0.021 4350.000
10460344 0.060 15.708 1.450 0.015 1.344 0.000 600.000
10461174 0.060 9.856 1.408 0.022 1.329 0.034 5100.000
10464092 0.060 0.524 1.413 0.050 1.287 0.116 6000.000
10466485 0.060 37.699 1.449 0.016 1.342 0.000 750.000
10468069 0.060 0.612 1.581 0.470 1.422 0.229 15400.000
10472555 0.060 97.738 1.452 0.015 1.349 0.000 450.000
10472688 0.060 55.851 1.447 0.015 1.340 0.000 900.000
10490980 0.060 3.142 1.494 0.020 1.339 0.000 1000.000
10491292 0.060 6.283 1.496 0.022 1.363 0.254 3000.000
