 coating x n_core k_core n_shell k_shell lambda
15418031 0.080 0.718 2.031 0.173 1.788 0.387 70000.000
15418283 0.080 0.628 2.269 0.316 1.790 0.354 100000.000
15422720 0.080 0.535 1.452 0.037 1.500 0.087 4700.000
15423503 0.080 83.776 1.475 0.022 1.519 0.017 450.000
15423827 0.080 13.694 1.466 0.042 1.503 0.090 3900.000
15425458 0.080 5.464 1.375 0.069 1.449 0.093 6900.000
15425511 0.080 8.508 1.423 0.023 1.499 0.086 4800.000
15426886 0.080 1.770 1.336 0.053 1.435 0.108 7100.000
15429197 0.080 230.383 1.487 0.054 1.565 0.017 150.000
15429214 0.080 43.197 1.478 0.021 1.514 0.017 800.000
15431504 0.080 89.012 1.449 0.013 1.516 0.017 600.000
15434811 0.080 5.236 1.469 0.045 1.499 0.086 4800.000
15436830 0.080 104.720 1.458 0.018 1.537 0.017 300.000
15442454 0.080 1.100 1.537 0.310 1.730 0.087 20000.000
15442823 0.080 4.084 1.544 0.239 1.793 0.165 10000.000
15445144 0.080 104.720 1.406 0.002 1.516 0.017 600.000
15448745 0.080 59.136 1.445 0.011 1.514 0.017 850.000
15450321 0.080 4.488 1.499 0.060 1.441 0.090 7000.000
15450751 0.080 9.890 1.498 0.059 1.507 0.100 5400.000
15456053 0.080 69.813 1.450 0.021 1.620 0.037 450.000
15456383 0.080 10.833 1.417 0.018 1.620 0.050 4350.000
15461755 0.080 80.784 1.451 0.024 1.620 0.037 350.000
15463857 0.080 179.520 1.485 0.083 1.620 0.037 210.000
1546690 0.000 7.392 1.429 0.032 1.590 0.047 5100.000
15473187 0.080 4.781 1.404 0.012 1.620 0.050 4600.000
15481609 0.080 29.845 1.476 0.023 1.620 0.037 2000.000
15484749 0.080 167.552 1.473 0.042 1.620 0.037 150.000
15487280 0.080 2.670 1.494 0.375 1.620 0.050 20000.000
15487797 0.080 2.793 1.452 0.015 1.620 0.037 450.000
15488705 0.080 1.836 1.585 0.437 1.620 0.050 15400.000
15489073 0.080 5.890 1.279 0.061 1.620 0.050 8000.000
15492328 0.080 26.928 1.482 0.021 1.620 0.037 700.000
15500771 0.080 13.792 1.446 0.030 1.620 0.050 4100.000
15502380 0.080 13.614 1.472 0.149 1.620 0.037 3000.000
15502426 0.080 146.608 1.422 0.004 1.620 0.037 300.000
15504108 0.080 44.880 1.490 0.020 1.620 0.037 700.000
15506558 0.080 6.283 1.426 0.121 1.620 0.050 9000.000
15507706 0.080 23.562 1.494 0.020 1.620 0.037 800.000
15511264 0.080 0.524 1.328 0.041 1.485 0.195 6000.000
15514256 0.080 0.754 2.286 0.355 2.018 0.722 75000.000
15515946 0.080 94.248 1.457 0.022 1.455 0.000 500.000
15516045 0.080 5.027 1.956 0.908 2.094 0.306 10000.000
15525635 0.080 11.827 1.416 0.016 1.429 0.147 4250.000
15529164 0.080 11.519 1.465 0.065 1.288 0.087 3000.000
15537225 0.080 13.694 1.424 0.023 1.420 0.145 3900.000
15539339 0.080 14.444 1.458 0.039 1.427 0.146 4350.000
15544419 0.080 6.896 1.470 0.045 1.433 0.150 4100.000
15547373 0.080 5.464 1.447 0.026 1.518 0.000 230.000
15557114 0.080 3.770 1.450 0.012 1.455 0.000 500.000
15559176 0.080 0.598 1.405 0.006 1.430 0.148 4200.000
15561430 0.080 0.873 1.530 0.149 2.006 0.196 14400.000
15562135 0.080 111.701 1.490 0.021 1.459 0.000 450.000
15570050 0.090 2.985 1.476 0.842 1.480 0.393 20000.000
15572295 0.090 4.488 1.484 0.091 1.389 0.000 210.000
15573144 0.090 3.097 1.312 0.095 1.317 0.034 7100.000
15573522 0.090 2.042 1.479 0.764 1.480 0.393 20000.000
15573786 0.090 235.619 1.478 0.072 1.369 0.000 240.000
1557384 0.000 10.472 1.477 0.078 1.548 0.017 240.000
15574297 0.090 1.323 1.452 0.022 1.328 0.000 950.000
15574544 0.090 2.793 1.452 0.022 1.328 0.000 900.000
15579396 0.090 9.617 1.418 0.021 1.328 0.012 4900.000
15580640 0.090 2.371 1.386 0.024 1.307 0.041 5300.000
15581592 0.090 628.319 1.486 0.087 1.464 0.000 100.000
15583893 0.090 5.027 1.480 0.056 1.362 0.000 250.000
15586761 0.090 15.708 1.449 0.022 1.306 0.001 2000.000
15586957 0.090 8.878 1.420 0.021 1.335 0.009 4600.000
15590296 0.090 5.236 1.472 0.041 1.371 0.272 3000.000
15591227 0.090 16.111 1.460 0.039 1.353 0.031 3900.000
15598025 0.090 89.760 1.475 0.055 1.389 0.000 210.000
15600826 0.090 104.720 1.421 0.007 1.332 0.000 600.000
15604592 0.090 0.628 1.924 0.396 1.519 0.385 90000.000
15607765 0.090 71.808 1.484 0.023 1.344 0.000 350.000
1561492 0.000 9.425 1.458 0.023 1.512 0.017 1000.000
15615864 0.090 4.887 1.387 0.195 1.262 0.040 9000.000
15616189 0.090 418.879 1.478 0.029 1.430 0.000 150.000
15617082 0.090 2.356 1.409 0.005 1.351 0.005 4000.000
1561759 0.000 4.072 1.381 0.026 1.507 0.100 5400.000
15617796 0.090 0.586 1.688 0.616 1.519 0.385 75000.000
15619700 0.090 8.299 1.486 0.055 1.307 0.041 5300.000
15619872 0.090 13.352 1.491 0.055 1.351 0.005 4000.000
15625485 0.090 0.550 1.613 0.648 1.519 0.385 80000.000
15632883 0.090 41.888 1.452 0.021 1.342 0.000 750.000
15637022 0.090 235.619 1.487 0.089 1.409 0.000 200.000
15640773 0.090 8.878 1.405 0.013 1.344 0.023 4600.000
15644785 0.090 77.332 1.450 0.017 1.344 0.000 650.000
15649757 0.090 2.299 1.437 0.027 1.357 0.020 4100.000
156500 0.000 18.850 1.451 0.014 1.363 0.004 500.000
15652658 0.090 99.484 1.426 0.009 1.344 0.000 600.000
15653089 0.090 2.793 1.475 0.022 1.349 0.000 450.000
15657655 0.090 1.224 1.581 0.470 1.422 0.229 15400.000
15659594 0.090 91.630 1.486 0.043 1.383 0.000 240.000
15664255 0.090 83.776 1.414 0.007 1.342 0.000 750.000
15667552 0.090 8.228 1.442 0.029 1.354 0.020 4200.000
15669919 0.090 10.875 1.376 0.019 1.324 0.043 5200.000
15674630 0.090 0.616 1.382 0.014 1.329 0.034 5100.000
15675264 0.090 1.728 1.587 0.345 1.521 0.359 20000.000
15679146 0.090 8.976 1.447 0.031 1.354 0.020 4200.000
15679871 0.090 1.795 1.494 0.020 1.357 0.000 350.000
15683835 0.090 5.464 1.479 0.085 1.400 0.004 230.000
15698000 0.090 4.011 1.402 0.012 1.362 0.014 4700.000
15698293 0.090 46.077 1.436 0.016 1.359 0.004 750.000
15698656 0.090 178.024 1.449 0.025 1.376 0.004 300.000
15708186 0.090 2.356 1.507 0.576 1.494 0.359 20000.000
1570857 0.000 0.644 1.428 0.025 1.503 0.090 3900.000
15708898 0.090 1.745 1.423 0.012 1.358 0.004 900.000
15713255 0.090 2.513 1.418 0.021 1.354 0.016 5000.000
1572162 0.000 14.960 1.418 0.017 1.507 0.090 4200.000
15725360 0.090 2.042 1.530 0.376 1.494 0.359 20000.000
15725428 0.090 0.586 1.804 0.348 1.529 0.351 75000.000
15726527 0.090 0.582 1.364 0.029 1.333 0.050 5400.000
15726950 0.090 5.845 1.405 0.008 1.371 0.011 4300.000
15728705 0.090 1.571 1.603 0.249 1.258 0.051 10000.000
15731381 0.090 0.668 1.722 0.368 1.529 0.351 80000.000
15733051 0.090 0.817 1.682 0.623 1.529 0.351 50000.000
15733446 0.090 89.760 1.404 0.002 1.360 0.004 700.000
15735341 0.090 3.876 1.526 0.148 1.386 0.217 15400.000
15744422 0.090 43.197 1.447 0.020 1.350 0.002 800.000
15746536 0.090 14.661 1.460 0.050 1.379 0.251 3000.000
15751289 0.090 10.472 1.485 0.083 1.407 0.002 210.000
15752246 0.090 9.498 1.436 0.028 1.361 0.016 4300.000
15759684 0.090 6.732 1.432 0.025 1.364 0.015 4200.000
15760207 0.090 1.068 2.080 0.383 1.549 0.382 50000.000
1576553 0.000 2.932 1.430 0.013 1.515 0.017 750.000
15773398 0.090 7.706 1.371 0.023 1.329 0.047 5300.000
1577868 0.000 13.881 1.413 0.014 1.506 0.089 4300.000
15788183 0.090 50.265 1.462 0.022 1.382 0.002 250.000
15805457 0.090 1.346 1.328 0.095 1.313 0.056 7000.000
15807458 0.090 157.080 1.486 0.085 1.482 0.000 100.000
15810815 0.090 5.386 1.459 0.026 1.371 0.000 350.000
15811515 0.090 6.130 1.433 0.025 1.365 0.034 4100.000
15812049 0.090 254.319 1.480 0.081 1.416 0.000 210.000
15812278 0.090 8.850 1.320 0.088 1.309 0.064 7100.000
15818698 0.090 3.534 1.430 0.014 1.354 0.000 800.000
15821073 0.090 4.398 1.436 0.029 1.342 0.037 5000.000
15821074 0.090 4.312 1.432 0.031 1.339 0.046 5100.000
15825659 0.090 12.435 1.396 0.010 1.347 0.037 4800.000
15828127 0.090 0.942 1.444 0.018 1.326 0.001 2000.000
1582992 0.000 94.248 1.440 0.018 1.537 0.017 300.000
1583184 0.000 62.832 1.426 0.009 1.516 0.017 600.000
15832370 0.090 0.654 1.611 0.410 1.468 0.200 14400.000
15834916 0.090 1.021 1.913 0.381 1.634 0.334 40000.000
15839721 0.090 1.100 1.439 0.015 1.326 0.001 2000.000
15843442 0.090 0.524 1.488 0.028 1.354 0.235 3000.000
15847386 0.090 21.991 1.484 0.011 1.482 0.000 100.000
15847536 0.090 0.707 1.409 0.005 1.368 0.034 4000.000
1585010 0.000 5.236 1.413 0.050 1.524 0.121 6000.000
15853169 0.090 2.932 1.494 0.020 1.354 0.000 750.000
158597 0.000 125.664 1.469 0.021 1.449 0.004 150.000
15861370 0.090 4.011 1.415 0.019 1.390 0.018 4700.000
15861896 0.090 235.619 1.486 0.097 1.441 0.007 200.000
15867507 0.090 8.195 1.427 0.024 1.392 0.017 4600.000
15867737 0.090 77.332 1.460 0.020 1.389 0.007 650.000
15868548 0.090 2.443 1.451 0.021 1.387 0.007 900.000
15869506 0.090 4.538 1.152 0.636 1.334 0.042 9000.000
15869817 0.090 5.655 1.891 0.811 1.298 0.051 10000.000
15872448 0.090 4.189 1.464 0.019 1.390 0.007 600.000
15875718 0.090 0.698 2.193 0.424 1.539 0.318 90000.000
15876838 0.090 125.664 1.470 0.064 1.441 0.007 200.000
15877120 0.090 7.694 1.394 0.010 1.386 0.019 4900.000
15877624 0.090 9.106 1.336 0.067 1.375 0.043 6900.000
15892603 0.090 51.744 1.448 0.015 1.387 0.007 850.000
15893411 0.090 1.653 1.410 0.007 1.386 0.007 950.000
15897386 0.090 0.524 1.442 0.029 1.401 0.015 4200.000
15898444 0.090 10.710 1.439 0.028 1.396 0.016 4400.000
1590217 0.000 0.582 1.446 0.044 1.507 0.100 5400.000
15911897 0.090 10.833 1.497 0.059 1.398 0.016 4350.000
15912951 0.090 0.722 1.399 0.005 1.398 0.016 4350.000
15913576 0.090 7.053 1.389 0.008 1.386 0.019 4900.000
15917055 0.090 2.310 1.323 0.083 1.342 0.059 6800.000
15917724 0.090 11.690 1.419 0.019 1.379 0.025 4300.000
15917761 0.090 232.205 1.474 0.077 1.414 0.004 230.000
15924666 0.090 2.992 1.439 0.029 1.382 0.025 4200.000
15929098 0.090 0.545 2.137 0.420 1.579 0.385 75000.000
15931423 0.090 15.325 1.449 0.034 1.384 0.024 4100.000
15936948 0.090 10.695 1.442 0.032 1.370 0.027 4700.000
15937208 0.090 8.850 1.375 0.083 1.343 0.051 7100.000
15938966 0.090 235.619 1.470 0.051 1.409 0.004 240.000
15940847 0.090 13.026 1.416 0.014 1.384 0.024 4100.000
15948378 0.090 0.733 1.907 0.173 1.578 0.386 60000.000
15949077 0.090 2.793 1.452 0.015 1.377 0.004 450.000
15950591 0.090 11.938 1.423 0.024 1.363 0.029 5000.000
15951625 0.090 20.944 1.414 0.007 1.371 0.004 750.000
15955309 0.090 0.924 1.396 0.058 1.342 0.059 6800.000
1595909 0.000 0.665 1.475 0.048 1.507 0.090 4250.000
15959637 0.090 7.222 1.482 0.051 1.378 0.025 4350.000
15963099 0.090 13.228 1.397 0.002 1.369 0.004 950.000
15964028 0.090 66.323 1.398 0.002 1.369 0.004 900.000
15964710 0.090 2.793 1.490 0.020 1.369 0.004 900.000
15965988 0.090 0.796 1.601 0.094 1.579 0.385 75000.000
15967364 0.090 115.192 1.457 0.013 1.391 0.004 300.000
15981567 0.090 0.571 1.460 0.020 1.369 0.000 550.000
15985017 0.090 1.676 2.221 0.723 1.646 0.237 30000.000
15985119 0.090 13.000 1.425 0.022 1.367 0.049 4350.000
15986184 0.090 2.094 1.328 0.049 1.331 0.133 6000.000
15987757 0.090 11.968 1.486 0.075 1.429 0.000 210.000
15991763 0.090 0.582 1.366 0.026 1.343 0.083 5400.000
15997571 0.090 6.614 1.422 0.012 1.363 0.000 950.000
16000420 0.090 66.759 1.474 0.021 1.366 0.000 800.000
16001350 0.090 3.927 1.449 0.016 1.366 0.000 800.000
16009733 0.090 8.666 1.405 0.009 1.367 0.049 4350.000
16010073 0.090 0.534 1.960 0.597 1.669 0.465 100000.000
16011340 0.090 5.498 1.478 0.049 1.376 0.049 4000.000
16011556 0.090 0.524 1.809 0.146 1.666 0.488 60000.000
1601783 0.000 11.424 1.486 0.020 1.517 0.017 550.000
16023198 0.090 6.283 1.482 0.058 1.331 0.133 6000.000
16023316 0.090 8.976 1.488 0.054 1.353 0.050 4900.000
1602696 0.000 0.670 1.685 0.120 1.789 0.386 75000.000
1603389 0.000 7.540 1.462 0.022 1.546 0.017 250.000
16034798 0.090 4.538 1.117 0.711 1.369 0.043 9000.000
16036899 0.090 9.308 1.374 0.024 1.397 0.050 5400.000
16037034 0.090 2.827 1.483 0.776 1.522 0.290 20000.000
1603804 0.000 0.654 1.541 0.270 1.765 0.131 14400.000
16039663 0.090 3.867 1.460 0.020 1.418 0.011 650.000
1604557 0.000 0.589 1.722 0.368 1.790 0.385 80000.000
16055814 0.090 4.867 1.328 0.061 1.408 0.039 7100.000
16057863 0.090 4.084 1.754 0.532 1.339 0.051 10000.000
16060169 0.090 0.597 2.168 0.419 1.549 0.284 100000.000
16064727 0.090 0.650 1.437 0.027 1.425 0.020 4350.000
16070284 0.090 6.283 1.458 0.018 1.430 0.011 300.000
16073503 0.090 269.279 1.449 0.020 1.458 0.011 210.000
16077429 0.090 29.845 1.436 0.014 1.400 0.012 2000.000
16079005 0.090 4.084 1.421 0.132 1.339 0.051 10000.000
16084427 0.090 38.666 1.494 0.020 1.418 0.011 650.000
16087135 0.090 0.898 1.613 0.648 1.549 0.284 70000.000
16092876 0.090 14.280 1.425 0.023 1.395 0.035 4400.000
16094343 0.090 90.757 1.455 0.022 1.398 0.006 450.000
16100075 0.090 7.250 1.392 0.021 1.376 0.052 5200.000
1610384 0.000 0.670 1.645 0.355 1.789 0.386 75000.000
161078 0.000 235.619 1.489 0.037 1.418 0.004 200.000
16107881 0.090 9.561 1.404 0.012 1.391 0.035 4600.000
16110042 0.090 18.850 1.472 0.041 1.396 0.209 3000.000
16116977 0.090 28.999 1.449 0.015 1.393 0.006 650.000
16119266 0.090 94.248 1.428 0.010 1.400 0.006 400.000
16125569 0.090 4.080 1.557 0.396 1.493 0.198 15400.000
1613426 0.000 125.664 1.484 0.000 1.575 0.017 100.000
16139480 0.090 3.770 1.450 0.011 1.395 0.006 500.000
16139999 0.090 3.272 1.440 0.031 1.387 0.036 4800.000
16141465 0.090 3.998 1.494 0.020 1.394 0.006 550.000
16144360 0.090 0.681 1.613 0.648 1.608 0.387 60000.000
16145000 0.090 1.047 1.451 0.019 1.381 0.000 600.000
16146106 0.090 157.080 1.481 0.092 1.438 0.000 220.000
16151798 0.090 0.707 2.351 0.411 1.749 0.283 40000.000
1616128 0.000 10.258 1.398 0.011 1.620 0.050 4900.000
16162784 0.090 14.280 1.476 0.067 1.438 0.000 220.000
16165468 0.090 40.841 1.428 0.014 1.374 0.000 1000.000
16167029 0.090 4.781 1.445 0.033 1.369 0.063 4600.000
16171594 0.090 149.226 1.432 0.012 1.389 0.000 400.000
16172842 0.090 31.416 1.474 0.021 1.378 0.000 800.000
16181133 0.090 376.991 1.480 0.048 1.474 0.000 150.000
1618204 0.000 271.319 1.477 0.083 1.620 0.037 220.000
16182637 0.090 46.077 1.414 0.007 1.378 0.000 750.000
161831 0.000 3.491 1.451 0.013 1.365 0.004 450.000
16187865 0.090 1.257 1.388 0.008 1.359 0.062 5000.000
16188144 0.090 91.630 1.439 0.016 1.427 0.000 240.000
16188789 0.090 12.277 1.403 0.008 1.376 0.063 4350.000
16192172 0.090 142.800 1.467 0.026 1.438 0.000 220.000
16193747 0.090 2.957 1.404 0.006 1.378 0.063 4250.000
16193957 0.090 0.733 1.718 0.370 1.677 0.207 30000.000
16196167 0.090 8.666 1.490 0.055 1.376 0.063 4350.000
16196952 0.090 2.356 1.452 0.012 1.389 0.000 400.000
16197852 0.090 4.189 1.404 0.061 1.353 0.142 6000.000
16203786 0.090 11.519 1.456 0.054 1.471 0.178 3000.000
16205765 0.090 44.352 1.447 0.021 1.445 0.015 850.000
16208615 0.090 2.094 1.452 0.021 1.446 0.015 750.000
16211862 0.090 10.077 1.373 0.020 1.432 0.044 5300.000
16212330 0.090 1.885 1.461 0.021 1.449 0.015 500.000
1621328 0.000 5.236 1.427 0.023 1.620 0.050 4200.000
16215752 0.090 18.850 1.462 0.061 1.471 0.178 3000.000
16219637 0.090 284.239 1.486 0.075 1.482 0.015 210.000
1621998 0.000 80.784 1.451 0.021 1.620 0.037 700.000
16220322 0.090 10.472 1.472 0.058 1.469 0.015 240.000
16229257 0.090 108.528 1.428 0.010 1.448 0.015 550.000
16230709 0.090 6.646 1.440 0.037 1.436 0.039 5200.000
16233399 0.090 4.189 1.473 0.042 1.506 0.015 150.000
1624075 0.000 7.854 1.121 0.076 1.620 0.050 8000.000
1624852 0.000 7.854 1.461 0.022 1.620 0.037 800.000
16251609 0.090 3.142 1.362 0.030 1.440 0.040 7000.000
16251612 0.090 2.443 1.393 0.110 1.405 0.044 9000.000
1625736 0.000 10.695 1.424 0.023 1.620 0.050 4700.000
16258196 0.090 0.698 1.520 0.070 1.559 0.251 90000.000
1625985 0.000 13.090 1.421 0.022 1.620 0.050 4800.000
16261120 0.090 62.832 1.463 0.036 1.433 0.007 300.000
16263001 0.090 3.696 1.421 0.020 1.417 0.043 4250.000
16263482 0.090 68.068 1.446 0.017 1.414 0.007 600.000
16269614 0.090 198.968 1.454 0.029 1.433 0.007 300.000
16275409 0.090 11.938 1.392 0.009 1.401 0.045 5000.000
16290711 0.090 14.500 1.445 0.032 1.420 0.057 3900.000
1629087 0.000 5.027 1.392 0.009 1.620 0.050 5000.000
16291721 0.090 1.386 1.343 0.054 1.375 0.070 6800.000
16293616 0.090 13.464 1.477 0.021 1.413 0.007 700.000
16299872 0.090 86.394 1.483 0.022 1.420 0.007 400.000
16311709 0.090 218.546 1.490 0.027 1.453 0.007 230.000
16313515 0.090 79.968 1.450 0.011 1.415 0.007 550.000
16314878 0.090 31.416 1.494 0.020 1.416 0.007 500.000
16327452 0.090 1.571 1.486 0.089 1.509 0.000 100.000
16330961 0.090 10.053 1.404 0.014 1.368 0.075 5000.000
16333070 0.090 11.704 1.386 0.013 1.369 0.082 5100.000
16336864 0.090 3.927 1.686 0.684 1.670 0.199 14400.000
16350010 0.090 2.042 1.550 0.511 1.688 0.224 20000.000
1635126 0.000 408.407 1.485 0.064 1.620 0.037 100.000
16353034 0.090 0.554 1.419 0.027 1.369 0.082 5100.000
16354037 0.090 5.027 1.660 0.430 1.656 0.178 10000.000
16356981 0.090 8.378 1.482 0.021 1.390 0.000 750.000
16357324 0.090 1.527 1.584 0.323 1.670 0.199 14400.000
16359328 0.090 94.248 1.458 0.018 1.423 0.000 300.000
16363243 0.090 41.888 1.486 0.020 1.390 0.000 750.000
16369087 0.090 7.513 1.489 0.055 1.378 0.076 4600.000
16372940 0.090 5.760 1.499 0.059 1.375 0.151 6000.000
16378129 0.090 3.142 1.447 0.024 1.463 0.019 2000.000
16388497 0.090 8.796 1.404 0.014 1.472 0.031 5000.000
16388595 0.090 111.701 1.454 0.020 1.478 0.019 450.000
16392629 0.090 91.831 1.464 0.020 1.476 0.019 650.000
16392644 0.090 13.881 1.444 0.032 1.482 0.028 4300.000
1639313 0.000 12.293 1.424 0.022 1.620 0.050 4600.000
16395505 0.090 1.812 1.379 0.017 1.466 0.041 5200.000
16397549 0.090 3.142 1.436 0.029 1.472 0.031 5000.000
1640379 0.000 1.795 1.342 0.061 1.620 0.050 7000.000
16406575 0.090 3.491 1.426 0.009 1.478 0.019 450.000
1641069 0.000 1.571 2.013 0.586 1.620 0.050 30000.000
164119 0.000 27.318 1.438 0.009 1.400 0.004 230.000
16411952 0.090 1.047 1.937 0.347 1.569 0.217 60000.000
16417383 0.090 10.833 1.440 0.028 1.481 0.029 4350.000
1642152 0.000 6.981 1.474 0.022 1.620 0.037 900.000
1642411 0.000 4.333 1.458 0.039 1.620 0.050 4350.000
16426223 0.090 40.977 1.490 0.027 1.498 0.019 230.000
16427657 0.090 2.285 1.450 0.011 1.476 0.019 550.000
16436062 0.090 2.094 1.110 0.708 1.478 0.183 9000.000
16436558 0.090 4.887 1.110 0.708 1.478 0.183 9000.000
16448174 0.090 167.552 1.449 0.025 1.454 0.009 300.000
16448223 0.090 0.718 2.146 0.364 1.668 0.386 70000.000
16452309 0.090 4.080 1.653 0.676 1.581 0.173 15400.000
1645426 0.000 2.094 1.436 0.014 1.620 0.037 300.000
16457673 0.090 46.297 1.449 0.018 1.430 0.009 950.000
16459358 0.090 7.140 1.408 0.012 1.432 0.053 4400.000
16462939 0.090 25.133 1.449 0.016 1.433 0.009 750.000
1646320 0.000 4.679 1.398 0.010 1.620 0.050 4700.000
16463838 0.090 6.981 1.270 0.415 1.478 0.183 9000.000
16469947 0.090 1.478 1.412 0.007 1.432 0.009 850.000
16484265 0.090 43.499 1.490 0.020 1.434 0.009 650.000
16487747 0.090 2.417 1.497 0.055 1.437 0.064 3900.000
16490081 0.090 149.600 1.441 0.000 1.480 0.009 210.000
16493931 0.090 89.760 1.455 0.027 1.425 0.000 350.000
1649733 0.000 0.565 1.423 0.024 1.620 0.050 5000.000
16499507 0.090 95.614 1.470 0.068 1.461 0.000 230.000
16500053 0.090 0.942 2.164 0.445 1.814 0.544 50000.000
16502852 0.090 12.566 1.482 0.087 1.474 0.000 200.000
16503248 0.090 3.927 1.436 0.026 1.401 0.092 4000.000
16510421 0.090 7.540 1.455 0.043 1.452 0.000 250.000
16511200 0.090 4.712 1.328 0.051 1.397 0.160 6000.000
16512992 0.090 4.488 1.438 0.030 1.379 0.088 4900.000
16515263 0.090 74.256 1.451 0.016 1.406 0.000 550.000
16522634 0.090 104.720 1.448 0.031 1.456 0.000 240.000
16524455 0.090 4.435 1.467 0.044 1.395 0.091 4250.000
1652658 0.000 5.585 1.322 0.259 1.620 0.050 9000.000
16532935 0.090 91.831 1.448 0.013 1.404 0.000 650.000
16534195 0.090 5.236 1.393 0.008 1.382 0.088 4800.000
16538272 0.090 41.888 1.445 0.013 1.400 0.000 900.000
16540337 0.090 8.458 1.376 0.019 1.381 0.102 5200.000
16545858 0.090 5.236 1.499 0.059 1.397 0.160 6000.000
16555063 0.090 35.904 1.459 0.028 1.510 0.022 350.000
16556316 0.090 0.628 1.441 0.019 1.503 0.022 1000.000
1656431 0.000 9.062 1.420 0.032 1.620 0.050 5200.000
1656694 0.000 1.492 1.825 0.375 1.620 0.050 40000.000
16569517 0.090 83.776 1.430 0.013 1.504 0.022 750.000
16573967 0.090 11.968 1.462 0.050 1.528 0.022 210.000
16578381 0.090 38.666 1.449 0.015 1.505 0.022 650.000
16581034 0.090 314.159 1.461 0.042 1.530 0.022 200.000
16584725 0.090 11.126 1.427 0.025 1.504 0.034 4800.000
16587384 0.090 0.524 1.475 0.048 1.510 0.032 4200.000
165919 0.000 11.310 1.490 0.025 1.388 0.004 250.000
16594006 0.090 53.856 1.486 0.020 1.504 0.022 700.000
16594400 0.090 11.088 1.476 0.050 1.500 0.039 5100.000
16596458 0.090 4.363 1.541 0.270 1.505 0.111 14400.000
16601312 0.090 78.540 1.462 0.017 1.520 0.022 240.000
16606402 0.090 2.513 1.453 0.022 1.456 0.011 500.000
16606774 0.090 6.283 1.453 0.022 1.456 0.011 500.000
16609348 0.090 5.008 1.322 0.088 1.404 0.076 6900.000
1661188 0.000 2.513 1.444 0.013 1.620 0.037 1000.000
16612638 0.090 0.698 1.113 0.709 1.521 0.212 9000.000
16613430 0.090 10.026 1.410 0.016 1.445 0.061 4700.000
16617315 0.090 91.392 1.460 0.020 1.455 0.011 550.000
16619490 0.090 78.540 1.451 0.020 1.453 0.011 800.000
16621247 0.090 10.271 1.379 0.017 1.439 0.072 5200.000
16621447 0.090 2.094 2.161 0.695 1.666 0.154 30000.000
16636419 0.090 46.297 1.448 0.017 1.451 0.011 950.000
16639627 0.090 54.636 1.486 0.046 1.492 0.011 230.000
16646695 0.090 4.098 1.467 0.033 1.492 0.011 230.000
16647275 0.090 2.299 1.444 0.029 1.455 0.062 4100.000
16648751 0.090 2.417 1.410 0.004 1.454 0.011 650.000
16649651 0.090 3.927 1.286 0.039 1.354 0.192 8000.000
16650015 0.090 9.666 1.376 0.019 1.439 0.072 5200.000
16658806 0.090 2.356 1.450 0.030 1.457 0.062 4000.000
16665137 0.090 8.195 1.410 0.016 1.395 0.103 4600.000
16667408 0.090 141.372 1.452 0.022 1.427 0.000 400.000
16670014 0.090 4.398 1.453 0.021 1.419 0.000 500.000
16674428 0.090 7.330 1.464 0.047 1.313 0.143 3000.000
16679831 0.090 0.683 1.436 0.029 1.395 0.103 4600.000
16680202 0.090 4.998 1.441 0.031 1.400 0.104 4400.000
16684453 0.090 191.227 1.461 0.051 1.475 0.000 230.000
16692276 0.090 71.808 1.473 0.021 1.416 0.000 700.000
16696112 0.090 167.552 1.436 0.014 1.452 0.000 300.000
1669666 0.000 157.080 1.492 0.020 1.620 0.037 240.000
16701265 0.090 28.999 1.415 0.006 1.416 0.000 650.000
16724043 0.090 0.604 1.380 0.016 1.528 0.044 5200.000
16728925 0.090 28.274 1.454 0.025 1.526 0.026 2000.000
16734663 0.090 0.763 2.212 0.265 1.590 0.150 70000.000
16748751 0.090 5.386 1.477 0.025 1.537 0.026 350.000
16749331 0.090 4.333 1.458 0.039 1.537 0.037 4350.000
1675707 0.000 10.927 1.408 0.015 1.421 0.143 4600.000
16763301 0.090 2.856 1.563 0.357 1.542 0.106 15400.000
16763412 0.090 9.856 1.424 0.029 1.530 0.042 5100.000
16768406 0.090 31.416 1.452 0.013 1.536 0.026 400.000
16768799 0.090 7.222 1.443 0.029 1.537 0.037 4350.000
16771946 0.090 3.590 1.490 0.020 1.533 0.026 700.000
16772994 0.090 125.664 1.491 0.021 1.536 0.026 400.000
16773291 0.090 0.785 1.601 0.103 1.590 0.150 80000.000
16775194 0.090 11.855 1.428 0.040 1.526 0.047 5300.000
16784823 0.090 0.785 2.265 0.370 1.730 0.385 80000.000
16789805 0.090 29.568 1.461 0.022 1.473 0.013 850.000
1679472 0.000 67.320 1.451 0.021 1.452 0.000 700.000
16799421 0.090 6.444 1.426 0.024 1.470 0.077 3900.000
16801381 0.090 188.496 1.487 0.071 1.535 0.013 150.000
16803670 0.090 0.586 2.043 0.337 1.729 0.386 75000.000
16803750 0.090 83.776 1.450 0.015 1.475 0.013 600.000
1680717 0.000 13.228 1.441 0.019 1.446 0.000 950.000
16807377 0.090 5.386 1.408 0.080 1.414 0.078 7000.000
16808602 0.090 0.731 1.435 0.026 1.470 0.071 4300.000
16809084 0.090 40.392 1.449 0.016 1.474 0.013 700.000
16809625 0.090 0.534 2.168 0.419 1.730 0.360 100000.000
