,Extinction,Scattering,Asym,quantile,normal
0,1.1536684338764247e-07,2.3171355027135037e-15,2.908687109617548e-08,0.0,-inf
1,3.6894767437329366e-05,4.955438321425712e-15,3.611182578895967e-08,0.001001001001001001,-3.0899351529977443
2,4.7380798120891077e-05,1.169902970490872e-14,4.7006092876819655e-08,0.002002002002002002,-2.8778461189271787
3,5.7475085743709483e-05,4.1086871760124204e-14,6.59882770985408e-08,0.003003003003003003,-2.7474533072977243
4,6.246581411964575e-05,6.906755529526286e-14,1.1375562394909973e-07,0.004004004004004004,-2.651731984747387
5,7.303703715139818e-05,9.020902145678899e-14,1.5835225370152437e-07,0.005005005005005005,-2.575483324008602
6,7.603310589510682e-05,1.1314548013923352e-13,2.2645284867110203e-07,0.006006006006006006,-2.5117912497307784
7,8.629796823289911e-05,1.8778316358595376e-13,2.818459435015824e-07,0.007007007007007007,-2.4569039746458294
8,9.07023261156698e-05,2.878783261946395e-13,3.3498104767934063e-07,0.008008008008008008,-2.4085503704175815
9,9.733350559431333e-05,3.9751317152037686e-13,3.986486817799361e-07,0.009009009009009009,-2.3652476466815218
10,0.00010616540213287791,4.831608330387032e-13,4.6310245731761843e-07,0.01001001001001001,-2.3259724580726555
11,0.00011076653520063743,6.352068065341054e-13,5.382954756668749e-07,0.011011011011011011,-2.2899878321264264
12,0.00011456231788590838,7.809983627747913e-13,5.863786278683416e-07,0.012012012012012012,-2.256744827428804
13,0.00011931429356533952,9.281852904642498e-13,6.667161410430299e-07,0.013013013013013013,-2.2258232024427875
14,0.00012661134224118106,1.1989302783731514e-12,7.38550439306945e-07,0.014014014014014014,-2.1968938521927237
15,0.0001301308492307294,1.6079045952364745e-12,8.355004521942855e-07,0.015015015015015015,-2.1696940641754074
16,0.0001361727223979955,2.001079799340695e-12,9.174041815621444e-07,0.016016016016016016,-2.1440106677777533
17,0.00013954476664398578,2.5208414725966562e-12,9.820342912875402e-07,0.017017017017017015,-2.119668230013644
18,0.00014268351188483498,3.237466067341812e-12,1.0934740884757052e-06,0.018018018018018018,-2.0965205824276283
19,0.00014760795689787958,3.99763908083331e-12,1.2531842135471555e-06,0.01901901901901902,-2.0744446087255777
20,0.00015388274907025267,4.318571399371598e-12,1.3223379634809692e-06,0.02002002002002002,-2.0533356042404134
21,0.00015813963680773362,5.089839870109951e-12,1.4014387584857565e-06,0.02102102102102102,-2.0331037518114194
22,0.00016207750630599897,5.9543056089414866e-12,1.469980311197222e-06,0.022022022022022022,-2.013671405766345
23,0.0001667028471593788,6.639321551310773e-12,1.6270790843445239e-06,0.023023023023023025,-1.9949709708277954
24,0.00017019109868438983,7.715125930745896e-12,1.7708347826889745e-06,0.024024024024024024,-1.976943225725333
25,0.000172277913558351,8.961602692150691e-12,1.9124376744057277e-06,0.025025025025025023,-1.9595359838375317
26,0.00017862023806829906,1.034647540146716e-11,2.041063356423799e-06,0.026026026026026026,-1.9427030124793647
27,0.00018198766850159806,1.1206183136047361e-11,2.1240162411172733e-06,0.02702702702702703,-1.9264031529639818
28,0.00018716992318316584,1.2919631145294508e-11,2.30845442053924e-06,0.028028028028028028,-1.9105995981591772
29,0.0001921742953361527,1.4617671765997455e-11,2.4374051048341483e-06,0.029029029029029027,-1.8952592947862115
30,0.00019773479154364717,1.5847651429661052e-11,2.641493979063677e-06,0.03003003003003003,-1.8803524454038238
31,0.00020255261966776347,1.735085280448743e-11,2.8515612210413913e-06,0.031031031031031032,-1.8658520907135028
32,0.00020850205479463842,1.8357410526133986e-11,3.106272714159539e-06,0.03203203203203203,-1.8517337570813284
33,0.00021185666548615185,1.9827312775099056e-11,3.326930279967501e-06,0.03303303303303303,-1.8379751573914644
34,0.00021897718892496516,2.1522203642084975e-11,3.5157238082097394e-06,0.03403403403403403,-1.824555935803749
35,0.00022675576294199035,2.2662932583999285e-11,3.6898732245071312e-06,0.035035035035035036,-1.8114574488804083
36,0.00023164357731515672,2.5029311202497923e-11,3.885705618093217e-06,0.036036036036036036,-1.7986625770167266
37,0.00023671789189048196,2.791897022231745e-11,3.9975756736584654e-06,0.037037037037037035,-1.7861555612610769
38,0.0002417910327221746,3.0373071288760806e-11,4.359364645870847e-06,0.03803803803803804,-1.7739218615170378
39,0.00024463515671491984,3.2839776076618606e-11,4.572575608896127e-06,0.03903903903903904,-1.7619480328408437
40,0.0002497306025033347,3.635367660109665e-11,4.778764466167833e-06,0.04004004004004004,-1.7502216171233853
41,0.0002545956180929725,3.907861310019625e-11,5.15616980902265e-06,0.04104104104104104,-1.7387310479091869
42,0.0002598136464777796,4.0742421023137154e-11,5.347359782230891e-06,0.04204204204204204,-1.7274655664796177
43,0.0002651620849538554,4.677829686906873e-11,5.697024813458003e-06,0.043043043043043044,-1.7164151476324772
44,0.000270101497698069,5.109028627390538e-11,6.196468913826671e-06,0.044044044044044044,-1.7055704338395008
45,0.0002734957158417487,5.536379484161415e-11,6.588109489081273e-06,0.04504504504504504,-1.6949226766682979
46,0.00027860052879818606,5.874289806600424e-11,6.963555413092078e-06,0.04604604604604605,-1.6844636845245369
47,0.00028175567372830883,6.615200442286784e-11,7.294805106078259e-06,0.04704704704704705,-1.6741857759106464
48,0.0002844936059137321,7.190963411338217e-11,7.612661981278267e-06,0.04804804804804805,-1.6640817375143429
49,0.00028822232151109876,8.473893709963733e-11,7.993232012304547e-06,0.04904904904904905,-1.6541447865382133
50,0.00029076334963286626,9.316952715243545e-11,8.313570609584168e-06,0.050050050050050046,-1.644368536763838
